,year,movie_title,certificate,duration,genre,rate,metascore,votes,gross,user_reviews,critic_reviews,cartoon,number_of_genres
1120,2016,The Lobster,R,119,Comedy|Drama|Romance,7.099999900000001,82.0,109436,8699235,342.0,366.0,False,3
1121,2016,Sing,PG,108,Animation|Comedy|Drama,7.30000019,59.0,16802,238240000,0.0,0.0,True,3
1122,2016,Captain America: Civil War,PG-13,147,Action|Adventure|Sci-Fi,7.900000099999999,75.0,374730,408080000,1145.0,572.0,False,3
1123,2017,The Disaster Artist,R,104,Biography|Comedy|Drama,7.80000019,76.0,39918,20910000,160.0,290.0,False,3
1124,2016,Moana,PG,107,Animation|Adventure|Comedy,8.0,81.0,36445,233410000,0.0,0.0,True,3
1125,2015,45 Years,R,91,Drama|Romance,7.099999900000001,94.0,21691,4250000,119.0,258.0,False,2
1126,2016,Captain Fantastic,R,118,Comedy|Drama,7.900000099999999,72.0,64766,5880000,184.0,247.0,False,2
1127,2015,The Visit,PG-13,94,Horror|Thriller,6.19999981,55.0,74201,65070000,486.0,384.0,False,2
1128,2015,Legend,R,132,Biography|Crime|Drama,7.0,55.0,101195,1870000,184.0,269.0,False,3
1129,2015,Knock Knock,R,99,Drama|Horror|Thriller,4.9000001,53.0,49945,30000,399.0,190.0,False,3
1130,2016,The Girl on the Train,R,112,Drama|Mystery|Thriller,6.599999900000001,48.0,60253,75310000,0.0,0.0,False,3
1131,2016,Allied,R,124,Action|Drama|Romance,7.19999981,60.0,24252,39800000,114.0,232.0,False,3
1132,2015,The Martian,PG-13,144,Adventure|Drama|Sci-Fi,8.0,80.0,528908,228430000,1065.0,586.0,False,3
1133,2015,Bridge of Spies,PG-13,142,Drama|History|Thriller,7.599999900000001,81.0,204054,72310000,391.0,469.0,False,3
1134,2016,Elle,R,130,Comedy|Drama|Thriller,7.30000019,89.0,21561,0,77.0,249.0,False,3
1135,2016,Underworld: Blood Wars,R,91,Action|Horror,6.4000001,22.0,9965,23930000,76.0,113.0,False,2
1136,2017,Kong: Skull Island,PG-13,118,Action|Adventure|Fantasy,6.69999981,62.0,189562,168050000,751.0,524.0,False,3
1137,2016,Lion,PG-13,118,Drama,8.0,69.0,6566,9870000,74.0,164.0,False,1
1138,2016,Rogue One: A Star Wars Story,PG-13,133,Action|Adventure|Sci-Fi,8.10000038,65.0,227448,501900000,1037.0,555.0,False,3
1139,2016,La La Land,PG-13,128,Comedy|Drama|Musical,8.69999981,93.0,78781,77300000,526.0,433.0,False,3
1140,2015,Son of Saul,R,107,Drama|War,7.5,89.0,28106,1780000,103.0,313.0,False,2
1141,2015,A War,R,115,Crime|Drama|War,7.099999900000001,81.0,5679,120000,19.0,123.0,False,3
1142,2015,Land of Mine,R,100,Drama|History|War,7.80000019,76.0,9002,0,21.0,80.0,False,3
1143,2017,Baby Driver,R,112,Action|Crime|Music,7.69999981,86.0,258004,107830000,737.0,519.0,False,3
1144,2017,Guardians of the Galaxy Vol. 2,PG-13,136,Action|Adventure|Sci-Fi,7.69999981,67.0,332731,389810000,800.0,523.0,False,3
1145,2015,Mustang,PG-13,97,Drama,7.69999981,83.0,21589,840000,49.0,229.0,False,1
1146,2016,Manchester by the Sea,R,137,Drama,8.39999962,96.0,17469,35160000,185.0,277.0,False,1
1147,2015,Green Room,R,95,Crime|Horror|Thriller,7.099999900000001,79.0,51933,3220000,163.0,375.0,False,3
1148,2015,A Man Called Ove,PG-13,116,Comedy|Drama,7.599999900000001,69.0,14782,54608,27.0,85.0,False,2
1149,2016,Florence Foster Jenkins,PG-13,111,Biography|Comedy|Drama,7.0,71.0,24036,27370107,135.0,213.0,False,3
1150,2016,13 Hours,R,144,Action|Drama|History,7.30000019,48.0,69707,52822418,243.0,225.0,False,3
1151,2017,Molly's Game,R,140,Biography|Crime|Drama,7.599999900000001,71.0,22149,25900000,99.0,243.0,False,3
1152,2015,Tanna,0,100,Drama|Romance,7.099999900000001,74.0,997,10000,6.0,27.0,False,2
1153,2015,The Witch,R,92,Horror|Mystery,6.69999981,83.0,89793,25140000,530.0,474.0,False,2
1154,2015,Embrace of the Serpent,Not Rated,125,Adventure|Drama,7.900000099999999,82.0,11588,1320000,50.0,194.0,False,2
1155,2016,Kubo and the Two Strings,PG,101,Animation|Adventure|Family,7.900000099999999,83.0,56049,48019281,183.0,246.0,True,3
1156,2016,20th Century Women,R,119,Comedy|Drama,7.69999981,83.0,3020,130467,29.0,100.0,False,2
1157,2016,Why Him?,R,111,Comedy,6.599999900000001,39.0,10274,51830000,64.0,107.0,False,1
1158,2016,The Girl with All the Gifts,R,111,Drama|Horror|Thriller,6.900000099999999,69.0,8335,0,57.0,101.0,False,3
1159,2016,Nocturnal Animals,R,116,Drama|Thriller,7.69999981,67.0,46191,10430000,227.0,337.0,False,2
1160,2017,Darkest Hour,PG-13,125,Biography|Drama|History,7.400000099999999,75.0,28135,45200000,229.0,286.0,False,3
1161,2016,Patriots Day,R,133,Drama|History|Thriller,7.599999900000001,69.0,7375,14680000,79.0,130.0,False,3
1162,2016,Loving,PG-13,123,Biography|Drama|Romance,7.099999900000001,79.0,9367,159615,65.0,199.0,False,3
1163,2016,Collateral Beauty,PG-13,97,Drama|Romance,6.599999900000001,23.0,11436,29850000,96.0,131.0,False,2
1164,2016,Hidden Figures,PG,127,Biography|Drama|History,7.900000099999999,74.0,9938,61890000,108.0,148.0,False,3
1165,2017,Lady Bird,R,94,Comedy|Drama,7.900000099999999,94.0,39099,41610000,203.0,209.0,False,2
1166,2016,Split,PG-13,117,Horror|Thriller,7.599999900000001,76.0,2416,0,77.0,193.0,False,2
1167,2016,Moonlight,R,111,Drama,8.5,99.0,14324,11480000,136.0,217.0,False,1
1168,2017,Dunkirk,PG-13,106,Action|Drama|History,8.10000038,94.0,331183,188370000,1679.0,580.0,False,3
1169,2017,"Three Billboards Outside Ebbing, Missouri",R,115,Crime|Drama,8.30000019,88.0,71689,37250000,369.0,408.0,False,2
1170,2017,Get Out,R,104,Horror|Mystery|Thriller,7.69999981,84.0,241946,175850000,832.0,633.0,False,3
1171,2016,Jim: The James Foley Story,TV-MA,111,Documentary|Biography,7.80000019,73.0,631,0,3.0,19.0,False,2
1172,2017,All the Money in the World,R,132,Biography|Crime|Drama,7.099999900000001,72.0,11044,24530000,94.0,193.0,False,3
